Nest_ID,year,ring,date,time,sex,site,nest,left_tarsus,right_tarsus,left_wing,right_wing,weight,fat,blood,code,moult,observer,comments
2006_B209,2006,CA124,607,1899-12-31 18:00:00,J,B,209,17.5,17.5,,,6.5,,1,MX.XX|WX.XX,,SQ,
2006_B209,2006,CA125,607,1899-12-31 18:20:00,F,B,209,24.4,24.5,105,106,35.25,0,1,YX.MX|LX.OX,,SQ,
2006_B209,2006,CA130,608,1899-12-31 11:00:00,J,B,209,17,17.1,,,6.5,,1,MX.XX|WX.XX,,SQ,
2006_B209,2006,CA131,608,1899-12-31 17:50:00,J,B,209,16.9,17,,,6,,1,MX.XX|WX.XX,,SQ,
2006_B209,2006,CA124,629,1899-12-31 21:40:00,J,B,209,23.5,23.4,,,13,,0,MX.XX|WX.XX,,CK,
2006_B3,2006,CA039,505,1899-12-31 08:30:00,F,B,3,25.3,25.4,109,110,38.3,0,1,RX.MX|BX.LX,,CK,
2006_B3,2006,CA203,507,1899-12-31 00:05:00,M,B,3,25.5,25.6,109,110,36.75,2,1,RX.MX|RX.RX,,CK,
2006_B4,2006,802122925,513,1899-12-31 22:50:00,M,B,4,25.6,25.5,108,109,38.25,0,1,YX.MX|BX.BX,,SQ,
2006_B4,2006,802122928,515,1899-12-31 07:45:00,F,B,4,24.2,24.3,102,103,36.5,2,1,WX.BX|sX.YM,,SQ,
2006_B4,2006,CA045,602,1899-12-31 11:50:00,J,B,4,16.6,16.5,,,4.6,,1,MX.XX|RX.XX,,CK,
2006_B4,2006,CA046,602,1899-12-31 16:20:00,J,B,4,17,17,,,5.5,,1,MX.XX|RX.XX,,CK,
2006_B4,2006,CA055,602,1899-12-31 23:50:00,J,B,4,16.6,16.6,,,5.6,,1,MX.XX|RX.XX,,CK,
2006_B4,2006,CA055,611,1899-12-31 21:25:00,J,B,4,19.1,19.3,,,5.9,,0,MX.XX|RX.XX,,CK,
2006_B4,2006,CA045,611,1899-12-31 21:25:00,J,B,4,17.9,18.1,,,5,,0,MX.XX|RX.XX,,CK,
2006_B4,2006,CA046,611,1899-12-31 21:25:00,J,B,4,21.8,21.8,,,6.9,,0,MX.XX|RX.XX,,CK,
2006_B4,2006,CA055,707,1899-12-31 21:25:00,J,B,4,25.7,25.6,,,18.25,,0,MX.XX|RX.XX,,CK,
2006_B5,2006,CA057,512,1899-12-31 21:35:00,M,B,5,25,25,108,109,35.75,2,1,WX.MX|WX.WX,,CK,
2006_B5,2006,802109721,515,1899-12-31 07:25:00,F,B,5,23.4,23.4,108,109,39.25,3,1,XX.WB|XX.RWM,,SQ,
2006_B5,2006,802109721,603,1899-12-31 09:05:00,F,B,5,23.9,23.8,,,39,,0,XX.WB|XX.RWM,,CK,
2006_B5,2006,CA057,603,1899-12-31 09:20:00,M,B,5,24.9,25,,,37.5,,0,WX.MX|WX.WX,,CK,
2006_B5,2006,CA072,605,1899-12-31 06:15:00,J,B,5,17.5,17.5,,,6.4,,1,MX.XX|LX.XX,,CK,
2006_B5,2006,CA073,605,1899-12-31 06:15:00,J,B,5,18.2,18.2,,,6.8,,1,MX.XX|LX.XX,,CK,
2006_B5,2006,CA077,605,1899-12-31 17:30:00,J,B,5,18.2,18.3,,,6.3,,1,MX.XX|XX.XX,,CK,
2006_B5,2006,CA072,621,1899-12-31 21:45:00,J,B,5,23.3,23.3,,,14.75,,0,MX.XX|LX.XX,,CK,
2006_B5,2006,CA073,621,1899-12-31 21:45:00,J,B,5,24.4,24.5,,,15.75,,0,MX.XX|LX.XX,,CK,
2006_B5,2006,CA072,629,1899-12-31 21:20:00,J,B,5,24,24.1,,,18.25,,0,MX.XX|LX.XX,,CK,
2006_B5,2006,CA073,629,1899-12-31 21:20:00,J,B,5,25.4,25.6,,,19,,0,MX.XX|LX.XX,,CK,
2006_B6,2006,RX.WX|YX.WX,518,1899-12-31 09:40:00,F,B,6,25.2,25.2,98,103,39.75,2,1,RX.WX|YX.WX,,CK,both 2nd Primaries broken
2006_B6,2006,RX.WX|YX.BX,520,1899-12-31 22:50:00,M,B,6,26,26.1,107,109,36.5,2,1,RX.WX|YX.BX,,CK,
2006_B6,2006,CA070,605,1899-12-31 06:00:00,J,B,6,18.4,18.3,,,5.8,,1,MX.XX|YX.XX,,CK,
2006_B6,2006,CA071,605,1899-12-31 06:00:00,J,B,6,17.7,17.7,,,6.3,,1,MX.XX|YX.XX,,CK,
2006_B6,2006,CA071,611,1899-12-31 22:20:00,J,B,6,20.1,20.1,,,7.2,,0,MX.XX|YX.XX,,CK,
2006_B6,2006,CA071,621,1899-12-31 23:00:00,J,B,6,22.9,22.8,,,10.75,,0,MX.XX|YX.XX,,CK,
2006_B7,2006,CA112,528,1899-12-31 09:30:00,F,B,7,24.7,24.6,109,110,38,1,1,YX.MX|GX.RX,,SQ,
2006_B7,2006,CA043,601,1899-12-31 20:15:00,M,B,7,26.2,26.3,111,112,40.5,2,1,RX.MX|OX.GX,,CK,
2006_B7,2006,CA097,608,1899-12-31 12:00:00,J,B,7,18.4,18.4,,,5.8,,1,MX.XX|GX.XX,,CK,
2006_B8,2006,CA113,528,1899-12-31 09:50:00,F,B,8,24.9,24.9,108,109,39.5,2,1,YX.MX|YX.RX,,SQ,
2006_B8,2006,CA042,601,1899-12-31 19:50:00,M,B,8,25.8,25.9,111,112,38.25,2,1,RX.MX|OX.LX,,CK,
2006_B8,2006,CA212,611,1899-12-31 06:45:00,J,B,8,18.2,18.3,,,6.1,,1,MX.XX|SX.XX,,CK,
2006_B8,2006,CA213,611,1899-12-31 06:45:00,J,B,8,18.5,18.6,,,6.6,,1,MX.XX|SX.XX,,CK,
2006_B9,2006,CA080,606,1899-12-31 07:15:00,M,B,9,26,26,106,105,37,1,1,WX.MX|OX.GX,,CK,
2006_C-1,2006,802122927,515,1899-12-31 07:30:00,J,C,-1,17.7,17.6,,,5.8,,1,MX.XX|BX.XX,,CK,
2006_C-1,2006,CA142,515,1899-12-31 07:30:00,M,C,-1,26.5,26.3,111,112,32.75,0,1,RX.MX|RX.LX,,CK,
2006_C1,2006,CA177,506,1899-12-31 11:00:00,F,C,1,24.8,24.9,108,109,33.5,2,1,RX.MX|BX.GX,,CK,
2006_C1,2006,CA220,506,1899-12-31 23:00:00,M,C,1,23.7,23.8,107,107,35.5,2,1,RX.MX|RX.BX,,CK,
2006_C1,2006,802122931,519,1899-12-31 06:50:00,J,C,1,18,18.1,,,5.9,,1,MX.XX|XX.XX,,CK,
2006_C1,2006,802122934,520,1899-12-31 07:55:00,J,C,1,18.1,17.9,,,6.3,,1,MX.XX|XX.XX,,CK,
2006_C1,2006,802122931,520,1899-12-31 08:10:00,J,C,1,18.7,18.7,,,5.4,,0,MX.XX|XX.XX,,CK,
2006_C1,2006,802122935,520,1899-12-31 08:10:00,J,C,1,16.7,16.7,,,5.2,,1,MX.XX|XX.XX,,CK,
2006_C10,2006,CA013,527,1899-12-31 21:45:00,M,C,10,25.2,25.1,109,109,40.5,3,1,RX.MX|LX.LX,,CK,
2006_C10,2006,CA034,531,1899-12-31 08:15:00,F,C,10,25.7,25.8,107,108,40.5,0,1,RX.MX|GX.WX,,CK,
2006_C10,2006,CA218,612,1899-12-31 16:30:00,J,C,10,18.6,18.6,,,6,,0,MX.XX|OX.XX,,CK,
2006_C105,2006,CA219,508,1899-12-31 09:00:00,F,C,105,24.1,24.1,108,109,37.75,0,1,RX.MX|BX.YX,,CK,
2006_C105,2006,802122906,509,1899-12-31 22:20:00,M,C,105,24.8,24.9,106,107,36.25,1,1,YX.MX|YX.WX,,SQ,
2006_C105,2006,CA105,527,1899-12-31 16:35:00,J,C,105,18.4,18.4,,,6.4,,1,MX.XX|LX.XX,,SQ,
2006_C105,2006,CA106,527,1899-12-31 16:35:00,J,C,105,17.5,17.5,,,6.3,,1,MX.XX|LX.XX,,SQ,
2006_C105,2006,CA111,528,1899-12-31 08:05:00,J,C,105,16.9,16.9,,,5,,1,MX.XX|LX.XX,,SQ,
2006_C105,2006,CA106,611,1899-12-31 21:15:00,J,C,105,23,23,,,10,,0,MX.XX|LX.XX,,CK,
2006_C105,2006,CA106,629,1899-12-31 21:10:00,J,C,105,25.4,25.5,,,20,,1,MX.XX|LX.XX,,CK,
2006_C106,2006,CA096,518,1899-12-31 10:15:00,F,C,106,24.6,24.4,106,105,38,0,1,RX.MX|YX.YX,,CK,
2006_C107,2006,RX.WX|RX.GX,518,1899-12-31 08:50:00,F,C,107,24.4,24.3,104,103,41.25,2,1,RX.WX|RX.GX,,CK,
2006_C107,2006,YX.BX|BX.RX,520,1899-12-31 20:45:00,M,C,107,24.5,24.4,109,109,39,1,1,YX.BX|BX.RX,,SQ,
