"","X","Nest_ID","Female_ID","Male_ID","Female_dur_care","Male_dur_care","Hatching_date","Year","Chick","Chick_ID","Chick_surv_age","Hatching_date_ch","Fate","Cap_date","Cap_age","Chick_weight","Left_tarsus_ch","Right_tarsus_ch","Mean_tarsus_ch","Mean_brood_weight","Mean_brood_tarsus","Chick_CI","Mean_brood_CI","Max_chick_CI"
"36",36,"2006_D21","802122911","CA143",5,5,"2006-06-23",2006,1,"CA232",5,"2006-06-23","unknown","2006-06-23",0,6.8,18.5,18.5,18.5,6.7,17.875,6.50601057088584,6.4103339448434,6.50601057088584
"37",37,"2006_D22","CA144","CA179",5,5,"2006-06-30",2006,1,"CA270",5,"2006-06-30","unknown","2006-06-30",0,6.4,17,17.1,17.05,6.75,16.95,6.84614599865666,7.2205446079582,7.59494321725973
"38",38,"2006_D24","CA245","CA230",3,3,"2006-07-07",2006,1,"CA319",3,"2006-07-07","unknown","2006-07-07",0,6.5,18,18.1,18.05,6.25,17.95,6.16453841660171,5.92744078519395,6.16453841660171
"39",39,"2006_D25","CA197","CA229",3,3,"2006-07-07",2006,1,"CA316",3,"2006-07-07","unknown","2006-07-07",0,5.6,16.2,16.2,16.2,5.83333333333333,17.05,5.9168339292454,6.16336867629729,6.44512267292802
"40",40,"2006_D28","CA242","CA104",3,3,"2006-06-30",2006,1,"CA271",3,"2006-06-30","unknown","2006-06-30",0,6.3,17.7,17.8,17.75,6.26666666666667,17.3,6.45604116325313,6.42188221529941,6.45604116325313
"41",41,"2006_D34","CA171","CA172",2,6,"2006-06-18",2006,1,"CA185",5.5,"2006-06-18","died","2006-06-18",0,6.6,18.4,18.4,18.4,6.55,18.275,6.02789923142401,5.98223332815564,6.02789923142401
"42",42,"2006_D4","CA020","CA068",5.5,26,"2006-06-09",2006,1,"CA100",3.5,"2006-06-09","died","2006-06-09",0,6.8,17.2,17.2,17.2,6.56666666666667,17.6,6.72132457553187,6.49069088911656,6.72132457553187
"43",43,"2006_D43","CA307","CA308",5,5,"2006-07-04",2006,1,"CA309",5,"2006-07-04","unknown","2006-07-04",0,7.1,17.9,17.9,17.9,7.1,17.9,6.77313203084815,6.77313203084815,6.77313203084815
"44",44,"2006_D6","CA014","7",5.5,26,"2006-05-25",2006,1,"CA005",2,"2006-05-25","died","2006-05-25",0,6.4,18,17.8,17.9,5.9,17.4666666666667,6.42778680980659,5.92561596529045,6.42778680980659
"45",45,"2006_D7","CA025","CA040",1.5,5,"2006-06-18",2006,1,"CA182",5,"2006-06-18","unknown","2006-06-18",0,6.2,17.7,17.8,17.75,5.95,17.7,6.05578416482446,5.81159931946864,6.05578416482446
"46",46,"2006_D8","CA081","CA065",26,26,"2006-06-08",2006,1,"CA127",26,"2006-06-08","fledged","2006-06-08",0,6,18,18,18,6.41666666666667,17.8,5.79150990456319,6.19369809238008,6.75676155532373
"47",47,"2007_A-1","CA2036","CA139",3,26,"2007-05-16",2007,1,"CA1220",26,"2007-05-16","fledged","2007-05-18",-2,NA,18.1,18.2,NA,NA,NA,NA,NA,NA
